"Date","LFEAICTTCAM647S"
2014-05-01,3495649.48175929
2014-06-01,3527481.13468008
2014-07-01,3531608.39495544
2014-08-01,3529479.43479813
2014-09-01,3552092.66024654
2014-10-01,3555314.56314237
2014-11-01,3557777.20315045
2014-12-01,3547358.31778408
2015-01-01,3530509.63544283
2015-02-01,3509718.5642711
2015-03-01,3509517.52933389
2015-04-01,3517271.53092048
2015-05-01,3522170.36513471
2015-06-01,3525239.54627147
2015-07-01,3524193.46250943
2015-08-01,3531452.23817499
2015-09-01,3532055.83854994
2015-10-01,3506059.00441425
2015-11-01,3534382.5838519
2015-12-01,3530144.69637513
2016-01-01,3522535.93163054
2016-02-01,3532862.85579792
2016-03-01,3508009.86388811
2016-04-01,3497144.22936893
2016-05-01,3507822.88397045
2016-06-01,3474429.64219306
2016-07-01,3483155.84747983
2016-08-01,3505089.54556886
2016-09-01,3508210.96853613
2016-10-01,3518415.82649826
2016-11-01,3492249.1284675
2016-12-01,3490332.45485839
2017-01-01,3522804.89837755
2017-02-01,3520570.69723564
2017-03-01,3516592.95964356
2017-04-01,3539908.11621412
2017-05-01,3558482.75360404
2017-06-01,3562340.06155631
2017-07-01,3584906.45025453
2017-08-01,3575492.78824905
2017-09-01,3571885.42450584
2017-10-01,3611766.90907779
2017-11-01,3622078.04482838
2017-12-01,3649965.30521177
2018-01-01,3642247.10713494
2018-02-01,3623845.35057123
2018-03-01,3652375.56258837
2018-04-01,3624478.81261304
2018-05-01,3611886.65792963
2018-06-01,3630440.76080007
2018-07-01,3599489.96427921
2018-08-01,3593580.99634131
2018-09-01,3605823.34432315
2018-10-01,3617590.24205066
2018-11-01,3638360.34148323
2018-12-01,3639101.8932467
2019-01-01,3613055.92152622
2019-02-01,3601004.28361766
2019-03-01,3597091.39160112
2019-04-01,3637104.37437405
2019-05-01,3642860.01616103
2019-06-01,3627259.31339177
2019-07-01,3636025.77987546
2019-08-01,3653568.04567953
2019-09-01,3657192.37565283
2019-10-01,3629343.65167919
2019-11-01,3613450.55365496
2019-12-01,3624649.15981004
2020-01-01,3641091.51197849
2020-02-01,3645684.08173296
2020-03-01,3572887.78592624
2020-04-01,2999579.79349352
2020-05-01,3176570.86340866
2020-06-01,3347666.34021822
2020-07-01,3386243.06904839
2020-08-01,3441245.77617463
2020-09-01,3515276.85843124
2020-10-01,3546037.99253735
2020-11-01,3546577.45344158
2020-12-01,3570588.06317559
2021-01-01,3594216.06871189
2021-02-01,3602719.73549252
2021-03-01,3617604.13362925
2021-04-01,3607595.61525823
2021-05-01,3577793.97930142
2021-06-01,3556686.50703436
2021-07-01,3561425.71646088
2021-08-01,3571446.56656842
2021-09-01,3592270.57519451
2021-10-01,3604942.88807836
2021-11-01,3621332.90731817
2021-12-01,3661253.27744129
2022-01-01,3683591.32756064
2022-02-01,3742359.89748114
2022-03-01,3749970.09423857
2022-04-01,3758884.55498273
2022-05-01,3739267.78752173
2022-06-01,3743400.36066601
2022-07-01,3765590.73572263
2022-08-01,3762588.50635472
2022-09-01,3731191.65347188
2022-10-01,3782859.27846419
2022-11-01,3775298.69994143
2022-12-01,3795793.32506468
