"Date","XTEXVA01CAM664S"
2013-07-01,3.8359e+10
2013-08-01,39169100000
2013-09-01,39801900000
2013-10-01,40289300000
2013-11-01,40500400000
2013-12-01,40097800000
2014-01-01,40323400000
2014-02-01,42123800000
2014-03-01,43636600000
2014-04-01,43502700000
2014-05-01,45097300000
2014-06-01,44355400000
2014-07-01,44670300000
2014-08-01,4.4147e+10
2014-09-01,45104100000
2014-10-01,45192200000
2014-11-01,43639100000
2014-12-01,44980900000
2015-01-01,43291100000
2015-02-01,42997100000
2015-03-01,4.3243e+10
2015-04-01,42351700000
2015-05-01,4.1531e+10
2015-06-01,44624400000
2015-07-01,4.5567e+10
2015-08-01,45475500000
2015-09-01,44697700000
2015-10-01,42752500000
2015-11-01,43006500000
2015-12-01,44528500000
2016-01-01,45405500000
2016-02-01,43654700000
2016-03-01,40896200000
2016-04-01,40878100000
2016-05-01,40170500000
2016-06-01,40972100000
2016-07-01,42323900000
2016-08-01,43807100000
2016-09-01,43704200000
2016-10-01,43822600000
2016-11-01,46301600000
2016-12-01,4.4835e+10
2017-01-01,46020400000
2017-02-01,46269700000
2017-03-01,46513500000
2017-04-01,4.7175e+10
2017-05-01,47835800000
2017-06-01,45691400000
2017-07-01,43478200000
2017-08-01,43105300000
2017-09-01,43015600000
2017-10-01,44105600000
2017-11-01,46246400000
2017-12-01,46629800000
2018-01-01,45407900000
2018-02-01,46448200000
2018-03-01,4.8021e+10
2018-04-01,48391200000
2018-05-01,48730200000
2018-06-01,51314500000
2018-07-01,51238400000
2018-08-01,50080300000
2018-09-01,49730200000
2018-10-01,49598400000
2018-11-01,48439400000
2018-12-01,4.6895e+10
2019-01-01,46344100000
2019-02-01,46508200000
2019-03-01,49856900000
2019-04-01,5.0378e+10
2019-05-01,52801500000
2019-06-01,50290300000
2019-07-01,49995400000
2019-08-01,49953700000
2019-09-01,49285400000
2019-10-01,48798700000
2019-11-01,48270300000
2019-12-01,4.96e+10
2020-01-01,47968200000
2020-02-01,4.8826e+10
2020-03-01,45474900000
2020-04-01,32832400000
2020-05-01,33624600000
2020-06-01,39457800000
2020-07-01,4.3903e+10
2020-08-01,44670600000
2020-09-01,46044800000
2020-10-01,46344500000
2020-11-01,46595400000
2020-12-01,46784800000
2021-01-01,51031800000
2021-02-01,50185900000
2021-03-01,49892300000
2021-04-01,49271900000
2021-05-01,48609800000
2021-06-01,52729900000
2021-07-01,5.2385e+10
2021-08-01,53675800000
2021-09-01,5.2201e+10
2021-10-01,54854900000
2021-11-01,58871200000
2021-12-01,57902800000
2022-01-01,57624600000
2022-02-01,59706200000
2022-03-01,62820700000
2022-04-01,6.513e+10
2022-05-01,68107700000
2022-06-01,69314800000
2022-07-01,68351300000
2022-08-01,65913300000
2022-09-01,65990100000
2022-10-01,66901600000
2022-11-01,64239600000
2022-12-01,64950900000
2023-01-01,67168500000
2023-02-01,64290500000
2023-03-01,63452900000
2023-04-01,64194200000
2023-05-01,62547200000
2023-06-01,5.9731e+10
2023-07-01,61128400000
2023-08-01,6.3554e+10
2023-09-01,64880100000
